Sentence Index,Ground Truth Labels,wnv645,dmr693,klr543,rvm681,mnf573,cbs154,xnq518,xlp113,rqv789,gnk487,nmx551,ckb257,vbr942,kdx409,ldw372,zvd607,kvh190,QPF823,shm302,gwn787,Dmc453,QKJ272,kpd426,HWP426,mzn741,rxq534,vjx192,qmf382,krw564,glq414,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29
18,0,1,3,2,1,2,2,2,2,2,1,3,2,2,2,2,4,2,3,2,2,2,3,2,1,2,2,2,2,1,3,thrown at actors charged with the impossible task of making them jell .,little more than,as conceived by mr. schaeffer,impossible task,impossible task,impossible task,little more,little more,collections of quirky traits,little more,impossible task of making them jell,quirky traits,making them jell,"little more, impossible task","as conceived by mr. schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell .","jell, quirky",little more than,are little more than collections of quirky traits,"""impossible task""",,impossible task,"""actors charged with the impossible task""","""collections of quirky traits lifted from a screenwriter 's outline and thrown at actors"", ""impossible task of [...]""",,impossible task,are little more than collections of quirky traits,llittle more than collections,quirky traits,quirky
19,0,4,4,3,3,3,1,2,4,3,3,4,3,1,3,3,4,2,4,3,3,3,2,3,3,3,2,3,1,4,2,those who managed to avoid the deconstructionist theorizing of french philosopher jacques derrida in college can now take an 85-minute brush-up course with the documentary derrida .,managed to avoid,those who managed to avoid the deconstructionist theorizing of french philosopher jacques derrida in college can now take an 85-minute brush-up course with the documentary derrida .,brush-up course,brush-up course,brush-up course,brush-up,,an 85-minute brush-up course,,-,,documentary derrida,managed to avoid,brush-up course with the documentary derrida,deconstructionist,,brush-up course with the documentary derrida,"""85-minute brush up course""",those who managed to avoid the deconstructionist theorizing of french philosopher jacques derrida in college can now take an 85-minute brush-up course with the documentary derrida .,brush-up,"""brush-up course""","""managed to avoid "",  ""can now take an 85-minute brush-up course""",,can now,those who managed to avoid,documentary derrida,brush-up,
20,1,3,4,3,3,4,3,4,4,4,4,3,3,4,4,2,2,3,3,3,3,4,4,4,3,3,4,5,4,3,3,bright sheen,most new movies have,most new movies have a bright sheen .,bright sheen,bright sheen,bright sheen,have,,bright sheen,,bright sheen,,a bright sheen,bright sheen,most new movies have a bright sheen .,"bright, sheen, new",,bright sheen,"""bright sheen""",,bright sheen,"""most""","""most new movies""",,bright sheen,a bright sheen,bright sheen,bright sheen,bright sheen
21,0,2,2,2,2,2,2,2,2,2,2,2,4,3,3,2,3,2,2,2,2,2,3,2,2,2,2,2,4,2,1,does not necessarily make for persuasive viewing,does not make for persuasive viewing,but what saves lives on the freeway does not necessarily make for persuasive viewing .,does not necessarily,not necessarily make for persuasive viewing,not necessarily make for persuasive viewing,persuasive,not make for persuasive viewing,does not necessarily,not make for persuasive viewing,-,not necessarily make for persuasive viewing,but,not necessarily make for,does not necessarily make for persuasive viewing,not,does not necessarily make for,does not necessarily make for persuasive viewing,"""not necessarily make for persuasive viewing""",does not necessarily make for persuasive viewing,does not necessarily make for persuasive viewing,"""persuasive viewing""","""does not necessarily make for persuasive viewing""",does not necessarily make for persuasive viewing,does not necessarily,does not necessarily make for persuasive viewing,saves lives,make for persuasive viewing,not persuasive viewing
22,1,4,3,4,2,5,2,4,4,3,3,4,3,2,3,4,4,3,5,4,3,4,3,3,3,4,5,3,4,5,4,steve irwin 's method is ernest hemmingway at accelerated speed and volume .,accelerated speed and volume,steve irwin 's method is ernest hemmingway at accelerated speed and volume .,ernest,method,method,accelerated speed and volume,,accelerated speed and volume,,-,,ernest,accelerated speed and volume,ernest hemmingway at accelerated speed and volume,accelerated,,is ernest hemmingway at accelated speed and volume,"""method is ernest""",ernest hemmingway at accelerated speed and volume,accelarted speed and volume,"""hemmingway at accelerated speed and volume""","""hemmingway at accelerated speed and volume""",,,ernest hemmingway at accelerated speed and volume,speed and volume,ernest hemmingway at accelerated speed and volume,hemingway accelerated
23,1,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,4,5,4,4,4,nicely serves as an examination of a society in transition .,nicely serves,nicely serves as an examination of a society in transition .,nicely,nicely,nicely serves,nicely,nicely,nicely,nicely,nicely serves,nicely serves,nicely,nicely serves,nicely serves,nicely,nicely,nicely,"""nicely serves""",nicely serves,nicely,"""nicely serves as""","""nicely serves as""",nicely serves as an examination,nicely,nicely serves,nicely,nicely serves,nicely
24,0,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,2,1,4,1,0,1,where viewers would be free to leave,free to leave,where viewers would be free to leave .,free to leave,free to leave,free to leave,would work much better .. free to leave,free to leave,be free to leave,free to leave,would be free to leave,"work better, free to leave",viewers would be free to leave,free to leave,free to leave,leave,viewers would be free to leave,where viwers would be free to leave,"""video installation in a museum"", ""viewers would be free to leave""",viewers would be free to leave,free to leave,"""would work much better""","""would work much better as"", ""viewers would be free to leave""",where viewers would be free to leave .,much better,viewers would be free to leave,free to leave,free to leave,viewers would be free to leave
25,0,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,1,2,2,0,1,even vaguely interested in his bratty character .,"none of the charm or charisma, bratty",culkin exudes none of the charm or charisma that might keep a more general audience even vaguely interested in his bratty character .,none of the,none of the charm,none of the charm or charisma,exudes none of the charm or charisma,none of the charm,none of the charm,none of the charm,vaguely interested,"none of the charm, vaguely",bratty,non of the charm,none of the charm or charisma,"none, bratty",none of the charm or charisma,exudes none of the charm or charisma,"""vaguely interested""",bratty character,vaguely interested,"""exudes none of the charm or charisma""","""exudes none of the charm or charisma"", ""even vaguely interested"", ""his bratty character""",none of the charm or charisma,none of the charm,none of the charm or charisma that might keep a more general audience even vaguely interested,bratty character,even vaguely interested,"none of the charm and charisma, even vaguely interested"
26,0,1,3,2,2,2,1,2,2,2,2,3,1,2,2,2,1,2,1,1,1,2,3,2,1,3,2,2,1,1,2,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit .,drowsy heaviness,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit .,drowsy heaviness,heaviness of synchronized,plays out,heaviness,drowsy heaviness,drowsy heaviness,drowsy heaviness,drowsy heaviness,drowsy heaviness,drowsy heaviness,drowsy heavyiness,drowsy heaviness of synchronized swimmer wearing a wool wetsuit,drowsy,drowsy heaviness of synchronized swimmer wearing a wool wetsuit,plays out with drowsy heaviness,"""wearing a wool wetsuit""",drowsy heaviness,drowsy heaviness,"""plays out with the drowsy heaviness""","""drowsy heaviness of""",plays out with the drowsy heaviness,drowsy heaviness,drowsy heaviness,drowsy heavyness,drowsy heaviness,drowsy heaviness
27,1,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,5,3,4,4,2,4,4,4,4,4,3,3,5,"not a cozy or ingratiating work , but it 's challenging , sometimes clever , and always interesting , and those are reasons enough to see it .","no ingratiating work, but reasons enough to see it",not a cozy or ingratiating work,reasons enough,enough to see it,reasons enough to see it,"it 's challenging , sometimes clever , and always interesting","clever, interesting","challenging , clever , interesting","clever, interesting","it 's challenging, sometimes clever , and always interesting","clever, interesting","always interesting, not a cozy or ingratiating work","challenging, sometimes clever, interesting","challenging, clever,  always interesting","not, clever, interesting","challenging, sometimes clever, always interesting","sometimes clever, and always interesting","""not a cozy or ingratiating work""",but it 's challenging,interesting,"""sometimes clever , and always interesting""","""but it's challenging , sometimes clever , and always interesting"", ""those are reasons enough to see it """,always interesting,always interesting,those are reasons enough to see it,sometimes clever,always interesting,"not a cozy, clever, interesting"
28,0,1,2,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,2,1,2,2,4,5,1,1,but the film must have been written ... in the thrall of a vicious hangover .,written in the thrall of hangover,the premise for this kegger comedy probably sounded brilliant four six-packs and a pitcher of margaritas in,vicious hangover,written ... in the thrall of a vicious hangover,thrall of a vicious hangover,but the film must have been written ... in the thrall of a vicious hangover,written in [...] a vicious hangover,thrall of a vicious hangover,written in [...] a vicious hangover,in the thrall of a vicious hangover,probably sounded brilliant,in the thrall of a vicious hangover,vicious hangover,must have been written ... in the thrall of a vicious hangover,hangover,"probably soundad brilliant, film must have been written ... in the thrall of a vicious hangover",must have been written ... in the thrall of a vicious hangover,"""written in a thrall of a vicious hangover""",written ... in the thrall of a vicious hangover,vicious hangover,"""written ... in the thrall of a vicious hangover""","""probably sounded brilliant four six-packs and a pitcher of margaritas in"",  ""the film must have been written ... in the thrall of a vicious hangover""",,sounded brilliant,must have been written ... in the thrall of a vicious hangover,four six-packs,vicious hangover,must have been written in the thrall of a visious hangover
29,1,4,4,4,4,5,2,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,it 's a pleasure,griping about,it 's a pleasure to see seinfeld griping about the biz with buddies chris rock,pleasure,pleasure to see,a pleasure to see,pleasure,pleasure,pleasure,pleasure,it 's a pleasure,pleasure,a pleasure,pleasure,pleasure,pleasure,pleasure,pleasure,"""it's a pleasure to see""",it 's a pleasure to see,pleasure,"""pleasure to see""","""it 's a pleasure to see"", ",it 's a pleasure to see,pleasure,a pleasure to see,pleasure,pleasure,pleasure
30,1,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,3,4,5,5,5,4,4,5,5,4,5,3,5,4,4,a genre movie that delivers,a movie that delivers,finally,finally,finally,a genre movie that delivers,a genre movie that delivers,"finaly, delivers",no less,"finaly, delivers",finally,"delivers, no less",genres,delivers,"finally , a genre movie that delivers","delivers, no less, finally",genre movie that delivers,a genre movie that delivers,"""a genre movie that delivers"", ""in a couple of genres""",delivers -- in a couple of genres,delivers,"""finally , a genre movie that delivers""","""genre movie that"", ""in a couple of genres , no less""",that delivers,no less,"that delivers -- in a couple of genres , no less",that delivers,delivers,"finally, delivers"
31,0,4,4,3,2,1,2,2,4,3,3,2,2,2,1,2,2,2,4,3,2,1,5,2,3,2,2,2,2,1,4,solaris is its big-budget brother .,"murkiest, self-indulgent pictures",the low-budget full frontal was one of the year 's murkiest,big-budget,intentionally obscure,one of the year 's murkiest,"murkiest , intentionally obscure and self-indulgent",murkiest,"murkiest , intentionally obscure, self-indulgent",murkiest,"murkiest , intentionally obscure and self-indulgent pictures",,murkiest,self-indulgent,solaris is its big-budget brother,"low-budget, murkiest, obscure",self-indulgent,"murkiest, intentionally obscure and self-indulgent pictures","""on eof the years murkiest""","one of the year 's murkiest , intentionally obscure and self-indulgent pictures",self-indulgent,"""murkiest"", ""obscure"", ""self-indulgent""","""murkiest , intentionally obscure and self-indulgent"", ""solaris is its big-budget brother""","one of the year 's murkiest , intentionally obscure and self-indulgent pictures",self-indulgent,self-indulgent,low-budget,murkiest,"murkiest, obscure"
32,1,4,5,5,5,5,5,5,5,4,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,exquisitely acted and masterfully if preciously interwoven,"exquisitely acted, masterfully addresses in a fascinating, intelligent manner",intelligent manner the intermingling of race,fascinating,"fascinating , intelligent",exquisitely acted and masterfully,masterfully,"exquisite, masterfully, facinating, intelligent","fascinating , intelligent manner","exquisite, masterfully, facinating, intelligent","exquisitely acted and masterfully if preciously interwoven, addresses in a fascinating , intelligent manner","exquisitely, fascinating, intelligent",exquisitely acted and masterfully,"exquisitely acted, fascinating, intelligent",exquisitely acted and masterfully if preciously interwoven,"masterfully, fascinating, intelligent","exquisitely, masterfully, preciously, fasctinating, intelligent",exquisitely acted and masterfully,"""masterfully"", ""exquisitely acted""",exquisitely acted and masterfully if preciously interwoven,fascinating,"""exquisitely acted""","""exquisitely acted"", ""masterfully if preciously interwoven"", ""addresses in a fascinating , intelligent manner""",exquisitely acted,"ascinating , intelligent",exquisitely acted and masterfully if preciously interwoven,exquisitely,fascinating,"exquisitely acted, masterfully"
33,1,4,5,4,5,5,4,4,4,5,5,4,5,5,5,5,2,4,5,4,5,4,2,4,5,4,5,4,4,5,5,"an enthralling , playful film","enthralling playful film, constantly frustrates ",an enthralling,enthralling,"enthralling , playful","enthralling , playful film",enthralling,"enthralling, blessing","an enthralling , playful film","enthralling, blessing","an enthralling , playful film","enthralling, playful",doubtless give his blessing to .,"enthralling, give his blessing to","enthralling, playful","playfull, doubtless","enthralling, playful, derrida would doubtless give his blessing","enthralling, playfull film","""frustrates""","an enthralling , playful film",playful,"""enthralling , playful film""","""enthralling , playful"", ""derrida would doubtless give his blessing""","an enthralling , playful film","enthralling , playful","an enthralling , playful film",playful,enthralling,"enthralling, playful, would give blessing"
34,1,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,"as a singular character study , it 's perfect .",it's perfect,as a singular character study,perfect,perfect,perfect,perfect,perfect,singular character,perfect,it´s perfect,perfect,perfect,perfect,it 's perfect,"singular, perfect",perfect,it's perfect,"""it's perfect""",it 's perfect,perfect,"""it 's perfect .""","""it 's perfect""",it 's perfect .,perfect,it 's perfect,perfect,perfect,perfect
35,1,5,3,3,4,4,4,4,3,3,3,3,3,3,3,4,3,3,5,4,4,3,3,4,4,3,3,2,4,3,4,haneke challenges us to confront the reality of sexual aberration .,challenges us,haneke challenges us to confront the reality of sexual aberration .,confront,reality,challenges us to confront the reality,challenges us,,confront the reality,,-,challenges us,challenges,challenges,challenges us to confront the reality,"challenges, sexual",,confront the reality of sexual aberration,"""confront the reality""",challenges us to confront the reality of sexual aberration,challenges us,"""challenges us""","""challenges us to"", ""confront the reality of""",challenges us to confront,sexual aberration,challenges us,reality,challenges,challenges us to confront the reality
36,1,4,2,5,2,5,3,4,4,4,4,4,5,1,2,4,5,4,5,4,5,4,2,5,5,4,4,5,2,5,1,an experience so engrossing,an experience so engrossing it is like being buried,an experience so engrossing it is like being buried in a new environment .,engrossing,engrossing,so engrossing,experience so engrossing,engrossing,being buried,engrossing,an experience so engrossing,so engrossing,engrossing,engrossing,an experience so engrossing,"experience, new",engrossing,an experience so engrossing,"""like being buried in a new environment""",an experience so engrossing,engrossing,"""so engrossing""","""so engrossing "", ""like being buried""",so engrossing,engrossing,an experience so engrossing,engrossing,engrossing,engrossing
37,1,4,4,4,4,5,4,5,4,5,5,4,5,5,5,4,4,4,5,4,5,4,5,4,5,4,5,5,5,5,5,all the performances are top notch,performances are top notch,once you get through the accents,though still positive,top notch,top notch,top notch and positive,top notch,top notch,top notch,all the performances are top notch,"top notch, emotional, positive","top notch, positive","top notch, positive","top notch, emotional , though still positive , wrench of a sit","top notch, emotional, positive","top notch, positive",though still positive,"""top notch""",all the performances are top notch,still positive,"""performances are top notch""","""all the performances are top notch"", ""emotional , though still positive""",all the performances are top notch,top notch,all the performances are top notch,top notch,top notch,top notch
